Data de Publicação,Contagem de postagens,Contagem de Perfis,Taxa de engajamento,Engajamento,Impressões,Visualizações,Rede,Tipo,Assunto
06 de fev. de 2025,2,2,"1,17%",2.297,195.639,-,Instagram,Publicidade,Times
07 de fev. de 2025,1,1,"1,97%",20,1.014,-,Instagram,Publicidade,Times
10 de fev. de 2025,2,2,"1,91%",1.640,85.907,64.587,Instagram,Publicidade,Times
12 de fev. de 2025,1,1,"0,03%",126,374.764,-,Instagram,Publicidade,Times
14 de fev. de 2025,5,5,"0,39%",756,194.735,-,Instagram,Publicidade,Times
17 de fev. de 2025,2,2,"0,13%",75,57.536,-,Instagram,Publicidade,Times
18 de fev. de 2025,1,1,"5,06%",130,2.568,-,Instagram,Publicidade,Times
19 de fev. de 2025,2,2,"2,72%",277,10.202,-,Instagram,Publicidade,Times
20 de fev. de 2025,1,1,"5,35%",30,561,-,Instagram,Publicidade,Times
21 de fev. de 2025,1,1,"0,15%",83,54.939,-,Instagram,Publicidade,Times
22 de fev. de 2025,1,1,"0,62%",4,648,-,Instagram,Publicidade,Times
24 de fev. de 2025,2,2,"28,04%",115.583,412.152,-,Instagram,Publicidade,Times
25 de fev. de 2025,2,2,"2,50%",10,4.509,-,Instagram,Publicidade,Times
26 de fev. de 2025,3,3,"1,47%",4.274,290.221,-,Instagram,Publicidade,Times
28 de fev. de 2025,1,1,"2,84%",7.705,271.181,-,Instagram,Publicidade,Times
04 de mar. de 2025,1,1,"0,46%",11,2.409,-,Instagram,Publicidade,Times
07 de mar. de 2025,3,3,"3,30%",2.291,69.400,-,Instagram,Publicidade,Times
09 de mar. de 2025,1,1,"4,20%",126,3.003,-,Instagram,Publicidade,Times
10 de mar. de 2025,1,1,"0,25%",260,103.450,-,Instagram,Publicidade,Times
13 de mar. de 2025,1,1,"1,33%",13,981,-,Instagram,Publicidade,Times
14 de mar. de 2025,1,1,"2,23%",13,584,-,Instagram,Publicidade,Times
19 de mar. de 2025,2,2,"0,73%",98,13.384,-,Instagram,Publicidade,Times
20 de mar. de 2025,1,1,"3,35%",68,2.029,-,Instagram,Publicidade,Times
21 de mar. de 2025,1,1,"0,73%",38,5.193,-,Instagram,Publicidade,Times
22 de mar. de 2025,1,1,"0,02%",8,36.391,-,Instagram,Publicidade,Times
24 de mar. de 2025,3,3,"1,44%",2.014,139.941,-,Instagram,Publicidade,Times
25 de mar. de 2025,1,1,"0,10%",7,7.220,-,Instagram,Publicidade,Times
26 de mar. de 2025,2,2,"0,22%",471,217.496,-,Instagram,Publicidade,Times
28 de mar. de 2025,1,1,"1,68%",63,3.753,-,Instagram,Publicidade,Times
29 de mar. de 2025,2,2,"0,09%",18,19.839,-,Instagram,Publicidade,Times
31 de mar. de 2025,3,3,"2,18%",2.586,118.403,20.587,Instagram,Publicidade,Times
01 de abr. de 2025,1,1,"1,22%",57,4.674,-,Instagram,Publicidade,Times
02 de abr. de 2025,3,3,"0,88%",2.905,330.456,-,Instagram,Publicidade,Times
04 de abr. de 2025,3,3,"1,55%",356,22.997,-,Instagram,Publicidade,Times
05 de abr. de 2025,1,1,"0,77%",55,7.165,2.733,Instagram,Publicidade,Times
08 de abr. de 2025,3,3,"1,39%",3.515,252.899,-,Instagram,Publicidade,Times
09 de abr. de 2025,1,1,"4,90%",1.374,28.020,-,Instagram,Publicidade,Times
12 de abr. de 2025,3,3,"1,53%",420,27.491,-,Instagram,Publicidade,Times
13 de abr. de 2025,11,11,"6,71%",39.031,581.892,-,Instagram,Publicidade,Times
14 de abr. de 2025,2,2,"0,31%",44,14.300,-,Instagram,Publicidade,Times
15 de abr. de 2025,5,5,"71,13%",558.167,784.737,4.720.582,Instagram,Publicidade,Times
17 de abr. de 2025,3,3,"0,39%",1.151,294.858,-,Instagram,Publicidade,Times
18 de abr. de 2025,1,1,"0,21%",6,2.817,-,Instagram,Publicidade,Times
19 de abr. de 2025,1,1,"1,15%",52,4.517,-,Instagram,Publicidade,Times
20 de abr. de 2025,2,2,"0,27%",38,13.912,-,Instagram,Publicidade,Times
21 de abr. de 2025,1,1,-,-,3.134,-,Instagram,Publicidade,Times
23 de abr. de 2025,2,2,"<0,01%",123,1.668.137,-,Instagram,Publicidade,Times
25 de abr. de 2025,2,2,"0,07%",129,193.160,-,Instagram,Publicidade,Times
27 de abr. de 2025,1,1,"6,27%",438,6.988,-,Instagram,Publicidade,Times
28 de abr. de 2025,5,5,"1,89%",2.674,141.211,6.442,Instagram,Publicidade,Times
01 de mai. de 2025,2,2,1%,1.094,112.861,-,Instagram,Publicidade,Times
02 de mai. de 2025,1,1,"3,04%",62,2.041,-,Instagram,Publicidade,Times
03 de mai. de 2025,1,1,"1,37%",1.847,134.643,-,Instagram,Publicidade,Times
06 de mai. de 2025,1,1,"0,38%",157,40.869,-,Instagram,Publicidade,Times
07 de mai. de 2025,1,1,"2,88%",21,730,-,Instagram,Publicidade,Times
08 de mai. de 2025,1,1,"3,85%",6.612,171.671,173.764,Instagram,Publicidade,Times
09 de mai. de 2025,4,4,"5,53%",46.225,836.022,-,Instagram,Publicidade,Times
10 de mai. de 2025,1,1,"3,85%",2.588,67.174,-,Instagram,Publicidade,Times
11 de mai. de 2025,5,3,"2,05%",21.292,1.038.021,-,Instagram,Publicidade,Times
12 de mai. de 2025,2,2,"2,60%",2.989,114.952,-,Instagram,Publicidade,Times
13 de mai. de 2025,1,1,"0,97%",123,12.627,-,Instagram,Publicidade,Times
15 de mai. de 2025,2,2,"0,16%",344,219.493,-,Instagram,Publicidade,Times
16 de mai. de 2025,6,4,"1,62%",12.546,773.593,-,Instagram,Publicidade,Times
17 de mai. de 2025,2,2,"5,32%",3.583,68.181,-,Instagram,Publicidade,Times
18 de mai. de 2025,5,3,"7,65%",16.374,213.993,-,Instagram,Publicidade,Times
19 de mai. de 2025,6,6,"1,36%",1.603,117.860,22.756,Instagram,Publicidade,Times
20 de mai. de 2025,3,3,"0,51%",543,106.217,-,Instagram,Publicidade,Times
21 de mai. de 2025,3,3,"1,00%",1.182,118.425,-,Instagram,Publicidade,Times
23 de mai. de 2025,3,3,"0,48%",268,56.362,-,Instagram,Publicidade,Times
27 de mai. de 2025,2,2,"4,53%",578,12.760,22.530,Instagram,Publicidade,Times
28 de mai. de 2025,2,2,"3,97%",363,9.140,-,Instagram,Publicidade,Times
29 de mai. de 2025,1,1,"3,86%",222,5.758,-,Instagram,Publicidade,Times
30 de mai. de 2025,1,1,"0,02%",10,41.938,-,Instagram,Publicidade,Times
31 de mai. de 2025,2,2,"1,09%",115,10.555,-,Instagram,Publicidade,Times
02 de jun. de 2025,4,4,"1,62%",5.700,352.851,-,Instagram,Publicidade,Times
03 de jun. de 2025,1,1,"4,27%",48,1.124,-,Instagram,Publicidade,Times
04 de jun. de 2025,1,1,"0,12%",43,34.524,-,Instagram,Publicidade,Times
05 de jun. de 2025,2,2,"0,22%",17,7.761,-,Instagram,Publicidade,Times
06 de jun. de 2025,3,3,"0,41%",193,47.556,-,Instagram,Publicidade,Times
07 de jun. de 2025,1,1,"12,20%",6.373,52.233,-,Instagram,Publicidade,Times
08 de jun. de 2025,1,1,"0,18%",48,26.642,-,Instagram,Publicidade,Times
09 de jun. de 2025,1,1,"0,37%",243,65.316,-,Instagram,Publicidade,Times
10 de jun. de 2025,2,2,"0,03%",69,216.492,-,Instagram,Publicidade,Times
11 de jun. de 2025,4,4,"0,57%",1.661,290.247,7.764,Instagram,Publicidade,Times
12 de jun. de 2025,1,1,"3,34%",54,1.616,-,Instagram,Publicidade,Times
13 de jun. de 2025,2,2,"0,50%",47,9.322,-,Instagram,Publicidade,Times
15 de jun. de 2025,1,1,"5,58%",39.882,714.510,-,Instagram,Publicidade,Times
16 de jun. de 2025,1,1,"4,44%",10.600,238.634,-,Instagram,Publicidade,Times
17 de jun. de 2025,2,2,"0,33%",45,13.488,-,Instagram,Publicidade,Times
18 de jun. de 2025,5,5,"0,92%",13.969,1.514.889,-,Instagram,Publicidade,Times
19 de jun. de 2025,1,1,"0,82%",373,45.311,-,Instagram,Publicidade,Times
20 de jun. de 2025,1,1,"16,64%",6.247,37.533,-,Instagram,Publicidade,Times
23 de jun. de 2025,1,1,"3,72%",896,24.113,-,Instagram,Publicidade,Times
24 de jun. de 2025,2,2,"0,02%",41,254.860,-,Instagram,Publicidade,Times
25 de jun. de 2025,3,3,"9,11%",53.931,592.252,-,Instagram,Publicidade,Times
26 de jun. de 2025,1,1,"0,25%",203,82.648,-,Instagram,Publicidade,Times
6 dias ago,5,5,"2,13%",1.740,81.638,-,Instagram,Publicidade,Times
3 dias ago,2,2,"0,71%",530,74.289,-,Instagram,Publicidade,Times
12 de mai. de 2025,5,2,"0,20%",14.973,0,7.557.204,TikTok,Publicidade,Times
19 de mai. de 2025,2,2,"0,08%",3.990,0,5.097.240,TikTok,Publicidade,Times
18 de mai. de 2025,2,1,"1,49%",620,0,41.600,TikTok,Publicidade,Times
31 de mar. de 2025,2,2,"4,58%",211,0,4.608,TikTok,Publicidade,Times
24 de mar. de 2025,2,2,"5,38%",246,0,4.576,TikTok,Publicidade,Times
26 de fev. de 2025,2,2,"3,89%",395,0,10.145,TikTok,Publicidade,Times
3 dias ago,1,1,"8,68%",1.397,0,16.100,TikTok,Publicidade,Times
10 de jun. de 2025,1,1,"6,27%",17,0,271,TikTok,Publicidade,Times
11 de mai. de 2025,1,1,"6,46%",4.593,0,71.100,TikTok,Publicidade,Times
09 de mai. de 2025,1,1,"0,66%",42.742,0,6.505.004,TikTok,Publicidade,Times
28 de abr. de 2025,1,1,"6,66%",1.075,0,16.152,TikTok,Publicidade,Times
09 de abr. de 2025,1,1,"6,06%",310,0,5.118,TikTok,Publicidade,Times
15 de mar. de 2025,1,1,"17,92%",20.913,0,116.687,TikTok,Publicidade,Times
07 de mar. de 2025,1,1,"6,78%",134,0,1.977,TikTok,Publicidade,Times
27 de fev. de 2025,1,1,"0,13%",7.884,0,6.010.985,TikTok,Publicidade,Times
24 de fev. de 2025,1,1,"13,77%",26.404,0,191.808,TikTok,Publicidade,Times
17 de fev. de 2025,1,1,"9,18%",163,0,1.776,TikTok,Publicidade,Times
12 de fev. de 2025,1,1,"11,01%",28.649,0,260.125,TikTok,Publicidade,Times
07 de fev. de 2025,1,1,"0,99%",3,0,303,TikTok,Publicidade,Times
01 de fev. de 2025,1,1,"11,44%",65,0,568,TikTok,Publicidade,Times
31 de jan. de 2025,1,1,"1,29%",9,0,698,TikTok,Publicidade,Times
24 de jan. de 2025,1,1,"11,83%",4.824,0,40.781,TikTok,Publicidade,Times
07 de jan. de 2025,1,1,"1,25%",9,0,719,TikTok,Publicidade,Times
16 de jun. de 2025,4,4,"2,87%",2.159,75.213,295.446,Twitter,Publicidade,Times
16 de mai. de 2025,4,3,"0,37%",1.241,333.095,69.482,Twitter,Publicidade,Times
12 de mai. de 2025,3,1,"0,07%",62,91.670,23.065,Twitter,Publicidade,Times
11 de mai. de 2025,3,2,"0,29%",1.240,427.410,67.187,Twitter,Publicidade,Times
18 de mai. de 2025,2,2,"0,08%",26,31.596,8.762,Twitter,Publicidade,Times
08 de mai. de 2025,2,2,"0,03%",52,184.603,0,Twitter,Publicidade,Times
08 de jun. de 2025,1,1,"6,62%",1.153,17.413,35.032,Twitter,Publicidade,Times
17 de mai. de 2025,1,1,"0,06%",18,30.568,8.708,Twitter,Publicidade,Times
13 de mai. de 2025,1,1,"0,41%",751,183.931,24.212,Twitter,Publicidade,Times
10 de mai. de 2025,1,1,"0,85%",1.571,184.015,36.309,Twitter,Publicidade,Times
07 de mai. de 2025,1,1,"0,93%",1.721,184.100,59.410,Twitter,Publicidade,Times
29 de abr. de 2025,1,1,"11,54%",6.696,58.041,239.787,Twitter,Publicidade,Times
21 de abr. de 2025,1,1,"0,08%",1,1.322,334,Twitter,Publicidade,Times
07 de abr. de 2025,1,1,"0,25%",208,82.226,180.817,Twitter,Publicidade,Times
06 de abr. de 2025,1,1,"0,13%",22,17.283,5.794,Twitter,Publicidade,Times
04 de abr. de 2025,1,1,"0,18%",16,8.774,1.840,Twitter,Publicidade,Times
19 de jan. de 2025,1,1,"0,05%",1,1.968,-,Twitter,Publicidade,Times
18 de jun. de 2025,1,1,"<0,01%",2,56.032,-,Facebook,Publicidade,Times
11 de mai. de 2025,1,1,"0,03%",12,3.776,-,Facebook,Publicidade,Times
08 de jun. de 2025,6,2,"0,74%",14.763,0,662.934,Youtube,Publicidade,Times
14 de jun. de 2025,4,1,"0,07%",462,0,9.434,Youtube,Publicidade,Times
31 de mai. de 2025,4,1,"0,15%",952,0,22.551,Youtube,Publicidade,Times
24 de mai. de 2025,4,1,"0,28%",1.787,0,37.405,Youtube,Publicidade,Times
25 de jun. de 2025,3,3,"0,06%",3.740,0,64.563,Youtube,Publicidade,Times
15 de jun. de 2025,3,1,"0,28%",1.351,0,25.048,Youtube,Publicidade,Times
12 de jun. de 2025,3,2,"0,11%",1.936,0,22.516,Youtube,Publicidade,Times
25 de mai. de 2025,3,1,"0,16%",768,0,14.715,Youtube,Publicidade,Times
18 de mai. de 2025,3,3,"0,30%",5.094,0,145.825,Youtube,Publicidade,Times
17 de mai. de 2025,3,3,"0,20%",3.419,0,136.121,Youtube,Publicidade,Times
16 de mai. de 2025,3,3,"0,46%",7.786,0,236.487,Youtube,Publicidade,Times
15 de mai. de 2025,3,3,"0,13%",8.710,0,101.203,Youtube,Publicidade,Times
14 de mai. de 2025,3,2,"0,17%",3.801,0,108.759,Youtube,Publicidade,Times
22 de mar. de 2025,3,1,"0,16%",2.827,0,172.953,Youtube,Publicidade,Times
20 de jun. de 2025,2,1,"0,02%",293,0,11.084,Youtube,Publicidade,Times
07 de jun. de 2025,2,2,"0,08%",1.554,0,49.671,Youtube,Publicidade,Times
05 de jun. de 2025,2,2,"0,02%",275,0,2.766,Youtube,Publicidade,Times
13 de mai. de 2025,2,1,"0,28%",2.478,0,77.243,Youtube,Publicidade,Times
12 de mai. de 2025,2,2,"0,10%",2.372,0,73.021,Youtube,Publicidade,Times
17 de mar. de 2025,2,2,"0,26%",10.082,0,90.947,Youtube,Publicidade,Times
28 de fev. de 2025,2,2,"0,02%",14,0,229,Youtube,Publicidade,Times
17 de fev. de 2025,2,2,"0,48%",3.269,0,37.633,Youtube,Publicidade,Times
16 de jan. de 2025,2,2,"0,28%",1.069,0,17.255,Youtube,Publicidade,Times
4 dias ago,1,1,"0,02%",11,0,27,Youtube,Publicidade,Times
26 de jun. de 2025,1,1,"<0,01%",4,0,45,Youtube,Publicidade,Times
22 de jun. de 2025,1,1,"0,03%",14,0,101,Youtube,Publicidade,Times
19 de jun. de 2025,1,1,"0,02%",165,0,6.927,Youtube,Publicidade,Times
13 de jun. de 2025,1,1,"0,02%",142,0,7.024,Youtube,Publicidade,Times
11 de jun. de 2025,1,1,"1,46%",1.076,0,38.970,Youtube,Publicidade,Times
09 de jun. de 2025,1,1,"0,09%",594,0,23.601,Youtube,Publicidade,Times
03 de jun. de 2025,1,1,"0,19%",11.233,0,219.433,Youtube,Publicidade,Times
19 de mai. de 2025,1,1,"0,05%",635,0,21.345,Youtube,Publicidade,Times
11 de mai. de 2025,1,1,"0,43%",1.897,0,65.580,Youtube,Publicidade,Times
10 de mai. de 2025,1,1,"0,65%",2.891,0,82.868,Youtube,Publicidade,Times
02 de mai. de 2025,1,1,"<0,01%",36,0,513,Youtube,Publicidade,Times
01 de mai. de 2025,1,1,"1,14%",1.727,0,49.926,Youtube,Publicidade,Times
29 de abr. de 2025,1,1,"0,34%",25,0,198,Youtube,Publicidade,Times
27 de abr. de 2025,1,1,"0,09%",13.592,0,311.346,Youtube,Publicidade,Times
25 de abr. de 2025,1,1,"0,05%",24,0,177,Youtube,Publicidade,Times
23 de abr. de 2025,1,1,"0,15%",21.749,0,382.441,Youtube,Publicidade,Times
18 de abr. de 2025,1,1,"0,08%",35,0,355,Youtube,Publicidade,Times
14 de abr. de 2025,1,1,"0,01%",57,0,616,Youtube,Publicidade,Times
09 de abr. de 2025,1,1,"0,77%",54.763,0,2.705.566,Youtube,Publicidade,Times
07 de abr. de 2025,1,1,"0,02%",60,0,478,Youtube,Publicidade,Times
30 de mar. de 2025,1,1,"0,05%",710,0,20.666,Youtube,Publicidade,Times
20 de mar. de 2025,1,1,"0,22%",1.320,0,33.595,Youtube,Publicidade,Times
12 de mar. de 2025,1,1,"1,12%",620,0,6.144,Youtube,Publicidade,Times
11 de mar. de 2025,1,1,"0,52%",1.351,0,11.359,Youtube,Publicidade,Times
06 de mar. de 2025,1,1,"0,06%",29,0,206,Youtube,Publicidade,Times
27 de fev. de 2025,1,1,"0,43%",87,0,1.193,Youtube,Publicidade,Times
24 de fev. de 2025,1,1,"0,07%",186,0,1.856,Youtube,Publicidade,Times
11 de fev. de 2025,1,1,"0,05%",195,0,1.882,Youtube,Publicidade,Times
06 de fev. de 2025,1,1,"1,69%",29,0,4.209,Youtube,Publicidade,Times
19 de jan. de 2025,1,1,"0,10%",554,0,13.454,Youtube,Publicidade,Times
14 de jan. de 2025,1,1,"0,49%",3.232,0,41.542,Youtube,Publicidade,Times
09 de jan. de 2025,1,1,"0,96%",270,0,1.375,Youtube,Publicidade,Times
15 de jun. de 2025,4,2,-,-,0,129.826,Twitch,Publicidade,Times
5 dias ago,2,1,-,-,0,96.487,Twitch,Publicidade,Times
14 de jun. de 2025,2,1,-,-,0,55.364,Twitch,Publicidade,Times
31 de mai. de 2025,2,2,-,-,0,96.585,Twitch,Publicidade,Times
16 de mai. de 2025,2,1,-,-,0,37.261,Twitch,Publicidade,Times
03 de mai. de 2025,2,1,-,-,0,36.571,Twitch,Publicidade,Times
02 de mai. de 2025,2,1,-,-,0,18.414,Twitch,Publicidade,Times
6 dias ago,1,1,-,-,0,66.260,Twitch,Publicidade,Times
11 de mai. de 2025,1,1,-,-,0,8.031,Twitch,Publicidade,Times
12 de abr. de 2025,1,1,-,-,0,17.704,Twitch,Publicidade,Times
31 de mar. de 2025,1,1,-,-,0,11.449,Twitch,Publicidade,Times
22 de mar. de 2025,1,1,-,-,0,14.231,Twitch,Publicidade,Times
27 de fev. de 2025,1,1,-,-,0,4.689,Twitch,Publicidade,Times
01 de jan. de 2025,143,139,"3,92%",287.207,7.331.377,75.513,Instagram,Orgânico,Times
02 de jan. de 2025,230,208,"3,77%",198.085,5.247.807,243.794,Instagram,Orgânico,Times
03 de jan. de 2025,256,230,"2,78%",194.790,7.000.184,285.182,Instagram,Orgânico,Times
04 de jan. de 2025,200,171,"8,72%",611.335,7.035.103,466.095,Instagram,Orgânico,Times
05 de jan. de 2025,182,158,"6,41%",587.328,9.165.394,12.330,Instagram,Orgânico,Times
06 de jan. de 2025,275,261,"2,06%",161.274,7.848.111,-,Instagram,Orgânico,Times
07 de jan. de 2025,288,271,"5,31%",555.671,10.487.618,311.834,Instagram,Orgânico,Times
08 de jan. de 2025,319,300,"3,01%",393.264,13.062.995,-,Instagram,Orgânico,Times
09 de jan. de 2025,311,290,"2,33%",606.205,26.046.640,54.022,Instagram,Orgânico,Times
10 de jan. de 2025,299,278,"3,89%",489.964,12.609.723,4.305,Instagram,Orgânico,Times
11 de jan. de 2025,198,189,"3,03%",291.246,9.609.514,-,Instagram,Orgânico,Times
12 de jan. de 2025,269,237,"7,59%",1.672.105,22.020.383,-,Instagram,Orgânico,Times
13 de jan. de 2025,301,289,"5,20%",504.283,9.719.885,8.800,Instagram,Orgânico,Times
14 de jan. de 2025,302,282,"5,72%",511.060,8.933.741,110.518,Instagram,Orgânico,Times
15 de jan. de 2025,333,322,"3,33%",463.796,13.917.294,113.893,Instagram,Orgânico,Times
16 de jan. de 2025,305,295,"3,42%",356.692,10.444.779,100.970,Instagram,Orgânico,Times
17 de jan. de 2025,294,277,"3,11%",259.488,8.356.478,-,Instagram,Orgânico,Times
18 de jan. de 2025,186,172,"4,44%",386.783,8.975.109,328.858,Instagram,Orgânico,Times
19 de jan. de 2025,164,153,"4,02%",226.031,5.629.363,22.660,Instagram,Orgânico,Times
20 de jan. de 2025,320,311,"3,29%",228.707,6.949.956,4.447,Instagram,Orgânico,Times
21 de jan. de 2025,328,317,"3,33%",383.756,11.525.602,97.945,Instagram,Orgânico,Times
22 de jan. de 2025,342,323,"3,18%",381.253,11.992.367,401,Instagram,Orgânico,Times
23 de jan. de 2025,289,279,"1,84%",243.878,13.248.787,244.050,Instagram,Orgânico,Times
24 de jan. de 2025,290,275,"1,87%",357.337,19.131.249,8.673,Instagram,Orgânico,Times
25 de jan. de 2025,190,178,"4,64%",322.397,6.953.729,394,Instagram,Orgânico,Times
26 de jan. de 2025,155,144,"23,11%",1.574.705,6.823.897,-,Instagram,Orgânico,Times
27 de jan. de 2025,338,320,"2,83%",333.943,11.800.498,167.221,Instagram,Orgânico,Times
28 de jan. de 2025,318,301,"2,72%",362.133,13.293.080,12.427,Instagram,Orgânico,Times
29 de jan. de 2025,362,354,"2,24%",269.728,12.022.805,134.055,Instagram,Orgânico,Times
30 de jan. de 2025,329,316,"2,06%",190.084,9.245.489,75.852,Instagram,Orgânico,Times
31 de jan. de 2025,298,286,"1,74%",188.811,10.847.327,7.555,Instagram,Orgânico,Times
01 de fev. de 2025,209,202,"6,85%",676.748,9.874.991,51.971,Instagram,Orgânico,Times
02 de fev. de 2025,254,248,"2,68%",241.480,9.088.514,-,Instagram,Orgânico,Times
03 de fev. de 2025,374,361,"3,24%",355.251,10.977.688,359.573,Instagram,Orgânico,Times
04 de fev. de 2025,358,345,"4,01%",579.040,14.450.972,-,Instagram,Orgânico,Times
05 de fev. de 2025,324,313,"6,40%",837.068,13.077.467,1.563.320,Instagram,Orgânico,Times
06 de fev. de 2025,338,325,"1,34%",153.689,11.432.937,265.137,Instagram,Orgânico,Times
07 de fev. de 2025,335,322,"2,11%",379.584,18.035.919,123.242,Instagram,Orgânico,Times
08 de fev. de 2025,184,169,"4,30%",467.517,10.877.202,50.097,Instagram,Orgânico,Times
09 de fev. de 2025,179,171,"3,74%",312.850,8.394.907,-,Instagram,Orgânico,Times
10 de fev. de 2025,385,373,"3,28%",522.922,15.962.649,2.193,Instagram,Orgânico,Times
11 de fev. de 2025,370,355,"2,39%",348.355,14.568.305,5.093,Instagram,Orgânico,Times
12 de fev. de 2025,402,387,"4,70%",574.308,12.234.700,16.701,Instagram,Orgânico,Times
13 de fev. de 2025,340,320,"3,37%",331.079,9.816.648,-,Instagram,Orgânico,Times
14 de fev. de 2025,339,328,"1,97%",239.740,12.155.597,-,Instagram,Orgânico,Times
15 de fev. de 2025,163,160,"2,56%",155.145,6.069.786,11.266,Instagram,Orgânico,Times
16 de fev. de 2025,163,159,"9,73%",787.407,8.089.529,-,Instagram,Orgânico,Times
17 de fev. de 2025,324,317,"4,29%",407.759,9.518.159,5.305,Instagram,Orgânico,Times
18 de fev. de 2025,402,382,"2,16%",412.343,19.063.251,220.381,Instagram,Orgânico,Times
19 de fev. de 2025,406,383,"5,76%",1.260.057,21.867.404,176.477,Instagram,Orgânico,Times
20 de fev. de 2025,385,364,"3,33%",445.079,13.378.837,174.717,Instagram,Orgânico,Times
21 de fev. de 2025,364,339,"2,56%",431.064,16.937.833,-,Instagram,Orgânico,Times
22 de fev. de 2025,285,273,"3,46%",993.717,28.751.631,-,Instagram,Orgânico,Times
23 de fev. de 2025,226,216,"3,42%",534.149,15.677.487,31.118,Instagram,Orgânico,Times
24 de fev. de 2025,509,397,"7,62%",6.591.725,87.081.240,321.028,Instagram,Orgânico,Times
25 de fev. de 2025,449,412,"7,42%",1.784.961,24.662.250,17.437,Instagram,Orgânico,Times
26 de fev. de 2025,474,437,"6,72%",1.243.233,18.516.548,4.011,Instagram,Orgânico,Times
27 de fev. de 2025,429,390,"3,20%",815.682,25.535.288,-,Instagram,Orgânico,Times
28 de fev. de 2025,433,387,"6,96%",1.399.020,20.121.960,486.393,Instagram,Orgânico,Times
01 de mar. de 2025,233,221,"2,63%",445.086,16.959.296,166.919,Instagram,Orgânico,Times
02 de mar. de 2025,191,178,"1,64%",273.914,16.887.063,2.641.490,Instagram,Orgânico,Times
03 de mar. de 2025,285,268,"3,38%",452.630,13.397.358,531.695,Instagram,Orgânico,Times
04 de mar. de 2025,272,251,"7,47%",2.025.823,27.182.047,31.453,Instagram,Orgânico,Times
05 de mar. de 2025,343,317,"2,06%",319.386,15.535.669,473.373,Instagram,Orgânico,Times
06 de mar. de 2025,344,325,"3,22%",431.975,13.519.833,147.539,Instagram,Orgânico,Times
07 de mar. de 2025,335,315,"5,94%",704.230,11.856.371,100.237,Instagram,Orgânico,Times
08 de mar. de 2025,223,215,"3,97%",361.881,9.124.360,22.339,Instagram,Orgânico,Times
09 de mar. de 2025,212,203,"4,61%",464.247,10.066.648,128.395,Instagram,Orgânico,Times
10 de mar. de 2025,346,330,"3,84%",515.379,13.459.116,94.303,Instagram,Orgânico,Times
11 de mar. de 2025,329,319,"2,85%",369.699,13.036.186,-,Instagram,Orgânico,Times
12 de mar. de 2025,361,343,"2,52%",419.677,16.636.563,455.922,Instagram,Orgânico,Times
13 de mar. de 2025,398,370,"2,19%",325.602,14.899.932,643.640,Instagram,Orgânico,Times
14 de mar. de 2025,345,325,"3,03%",419.741,13.986.247,2.796,Instagram,Orgânico,Times
15 de mar. de 2025,220,205,"2,43%",259.606,10.671.801,58.843,Instagram,Orgânico,Times
16 de mar. de 2025,195,186,"6,82%",680.357,9.977.264,248.671,Instagram,Orgânico,Times
17 de mar. de 2025,381,354,"4,92%",836.400,17.284.215,309.205,Instagram,Orgânico,Times
18 de mar. de 2025,419,394,"3,15%",677.543,21.527.098,122.433,Instagram,Orgânico,Times
19 de mar. de 2025,384,367,"1,58%",291.179,18.389.993,455.675,Instagram,Orgânico,Times
